Title,TagsAndSkills,Company,Currency,Salary,Location,Experience,JdURl,Jobdescription,CreatedAt
Technology Architect,"software development life cycle,Architecture,design,Salesforce Commerce Cloud,Software development,Development,Life cycle,Software",TSIT Digital,INR,Not disclosed,Hybrid - Chennai,8-12 Yrs,/job-listings-technology-architect-tsit-digital-chennai-8-to-12-years-130623005357,At least 8 years of experience in Project life cycle activities on development and maintenance projects<br><br>Ability to work in team in diverse multiple stakeholder environment Strong exposure to ecommerce domain Should have strong analytical skills Experience and desire to work in a Global delivery environment.The job entails sitting as well as working at a computer for extended periods of time,13/6/2023
Sr. Salesforce Automation Tester/ Lead (immediate joiner),"Automation Testing,Salesforce Testing,Software testing,Selenium,Leadership,Salesforce Integration,Selenium Automation,Automation",Excel Talent Plus,INR,18-30 Lacs PA,"Bangalore Rural, Karnataka",6-11 Yrs,/job-listings-sr-salesforce-automation-tester-lead-immediate-joiner-excel-talent-plus-bangalore-rural-karnataka-6-to-11-years-130623008498,"6+ experience in Salesforce automation engineer with Java, selenium and other automation  testing tools. (immediate joiner)",13/6/2023
MuleSoft Anypoint Platform Application Developer,"Business process,Gap analysis,SDK,Salesforce,Mulesoft Anypoint,Gap,Analysis,Design patterns",Accenture,INR,Not disclosed,Bengaluru,6-8 Yrs,/job-listings-mulesoft-anypoint-platform-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-8-years-130623908135,"Educational Qualification : 15 years of Full Time Education <br><br>Additional Information : Flexible to work in Shift B - 1 PM to 10 PM . <br><br>Professional Attributes : A Candidate should have good communication skills to articulate impediments,asks to stakeholders <br><br>Work Experience :6-8 years",13/6/2023
MuleSoft Anypoint Platform Application Developer,"Business process,JMS,Gap analysis,SDK,Salesforce,Development,Mulesoft Anypoint Platform,System",Accenture,INR,Not disclosed,Bengaluru,6-8 Yrs,/job-listings-mulesoft-anypoint-platform-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-8-years-130623908134,"Educational Qualification : 15 years of Full Time Education . <br><br>Professional Attributes : A Candidate should have good communication experience B Candidate must possess good communication skill to articulate impediments,asks to stakeholders <br><br>Work Experience :6-8 years",13/6/2023
Customer Support For Chennai Location,"customer service,International Voice Process,Process,Calling,Customer support,International voice,Database maintenance,Project",Persolkelly India,INR,Not disclosed,Chennai,3-5 Yrs,/job-listings-customer-support-for-chennai-location-persolkelly-india-chennai-3-to-5-years-240123004779,"REQUIREMENTS AND QUALIFICATIONS . Education : Bachelor degree(Any) . <br><br>Experience: Minimum 3-4 years of experience in the relevant field. Critical Knowledge,Skills,and Abilities Requirements:  . <br><br>only<br><br>Good communications skills and a team player",13/6/2023
Director - FinTech Product Management,"Product management,Fintech,Management,API,Agile,Agile methodology,Direct,Supply chain",AVE-Promagne Business Solutions,INR,Not disclosed,Bengaluru,11-21 Yrs,/job-listings-director-fintech-product-management-ave-promagne-business-solutions-bangalore-bengaluru-11-to-21-years-130623908006,"Bachelors Degree in Engineering,Computer Science,or related disciplines or equivalent experience in technical roles. - Experience in building proven solutions of enterprise grade and scale. - Agile methodology,and API experience. - MBA a plus. - Industry certifications such as APICS CPIM,CSCP,CTL a plus",13/6/2023
Asst Manager / Manager - Commercial Excellence,"CRM Tools,CFE,Competitive Intelligence,Improvement,Commercial,Intelligence,Management,CRM Tool",Corporate Placement And Liaisoning Services,INR,12-18 Lacs PA (Including Variable: 10.0%),Hybrid - Mumbai,5-10 Yrs,/job-listings-asst-manager-manager-commercial-excellence-corporate-placement-and-liaisoning-services-mumbai-5-to-10-years-300622909887,Experience of managing large scale organizational projects At par with top MNC including 5 days week,13/6/2023
Salesforce CPQ Technical Architect,"Salesforce CPQ,apex classes,Salesforce,Technical,Class,Cpq,Architecture,Apex",Mytech Global,INR,Not disclosed,Hybrid - Bengaluru,6-11 Yrs,/job-listings-salesforce-cpq-technical-architect-mytech-global-bangalore-bengaluru-6-to-11-years-130623007805,"Strong experience with configuration,customization,programming with APEX,APIs,APEX Triggers,and implementing new instances of Salesforce.com from scratch<br><br>Salesforce Dev,Admin,PD1,PD2 Certification<br><br>Salesforce CPQ Specialist Certification,a bonus <br><br>Experience in Salesforce (SFDC) CRM with end-to-end implementation experience<br><br>Strong experience in software product lifecycle",13/6/2023
Field Sales Executive,"Field Work,Sales executive activities,Business To Business,Field,B2B,Field sales,Sales lead generation,Sales",Dunzo,INR,3-3.5 Lacs PA,Chennai,1-4 Yrs,/job-listings-field-sales-executive-dunzo-chennai-tamil-nadu-1-to-4-years-130623007787,Graduation is Mandatory,13/6/2023
Azure Data Engineer || Big 4 || Only Bangalore-No Relocation,"Azure,SQL,Data Lake,SQL Azure,Microsoft Azure,Azure Synapse,Factory,Data",Metaphor Infotech,INR,Not disclosed,Hybrid - Bengaluru,4-9 Yrs,/job-listings-azure-data-engineer-big-4-only-bangalore-no-relocation-metaphor-infotech-bangalore-bengaluru-4-to-9-years-130623007617,"R Hands on experience on Microsoft Azure cloud platform services Azure Data Lake Storage,Azure Data Factory,Azure Databricks / Spark,Azure SQL<br><br>Highly Proficient in Database language and Design (SQL,APIs,etc.) <br><br>Experience in building ELT pipelines<br><br> Good Experience with data ingestion from multiple sources like Salesforce,Excel,Snowflake",13/6/2023
Executive/Senior Executive - Sales & CRM ( Real Estate Industry),"Sales,Real estate Sales & Marketing,Real Estate Sales,Sales & CRM,CRM,Customer relationship,Salesforce,Residential",Sejal Realty,INR,3.5-5.5 Lacs PA,Mumbai (All Areas),3-8 Yrs,/job-listings-executive-senior-executive-sales-crm-real-estate-industry-sejal-realty-mumbai-all-areas-3-to-8-years-130623007395,Must have 4+ Yrs Experience in Sales & CRM in the Real estate Industry.- Job Location: South Mumbai,13/6/2023
Accounts Executive,"Sales Operations,Problem Solving,MS Office,English Language,Office,Salesforce,English,Sales",Residency Resorts Private Limited,INR,2.5-3 Lacs PA,Delhi,2-4 Yrs,/job-listings-accounts-executive-residency-resorts-private-limited-new-delhi-delhi-2-to-4-years-130623007359,"Manage a portfolio of accounts, developing and maintaining strong relationships with clients
Identify opportunities for upselling and cross-selling to increase revenue from existing accounts",13/6/2023
Sr Software Engineer - Salesforce,"Salesforce,jQuery,SR,Management,Software,Data management,API,Software development",Community Brands Software Development Solutions,INR,Not disclosed,Pune,4-5 Yrs,/job-listings-sr-software-engineer-salesforce-community-brands-software-development-solutions-i-pune-4-to-5-years-130623907293,"<p>Must be able to comprehend the client’s requirements quickly and give feasible technical solutions in a timely manner.<br />Ability to handle clients professionally during all interfaces.<br />Ability to work with a geographically dispersed organization and customers.<br />Innovative thinker who is positive, proactive, and readily embraces change.<br />Team player and quick learner with desire to learn new technology.<br /></p><p>We would love to chat if you have...</p><p>In-depth knowledge in Salesforce.com/ Force.com platform<br />Min. 4 to 5 years of experience & extensive understanding of Salesforce.com platform w.r.t Platform administration, Development, Data Management, Integration, Security and Deployment, Salesforce Lightning Web Component.<br />Develop Apex (classes and triggers), Lightning Components, Visualforce, and REST API Integration to extend Salesforce to support business requirements.<br />Have knowledge in designing of custom objects, validation rules, custom reports, .workflows and approval processes for automated alerts, field updates and Email generation according to the application requirements.<br />Have knowledge in Creating Roles, Profiles, Page Layouts, Workflow rules, and Approval Processes.<br />Conforming to Software Development Life Cycle processes and Force.com configuration best practices during implementation<br />Certifications: Good to have Salesforce.com Admin Certified and Developer<br />Certified. Nice to have Salesforce Sales & Service cloud certifications.<br />Custom development experience in Force.com (Apex, visual force), Batch Apex and Schedule apex.<br />Sound knowledge on JavaScript and jQuery<br />Ability to interpret technical specifications.<br />Must have knowledge on Git, Bitbucket.<br />Good Analytical skills and issue debugging (Troubleshooting skills).<br />A good work ethic, ready to absorb best practice from the team.<br />Take ownership and work independently.<br />Good Communication skills - Verbal and Written. Must be able to effectively communicate & work with fellow team members and Clients to coordinate & meet deliverable.<br />Bachelor’s or master’s degree in computer science or relevant Engineering degree</p>",13/6/2023
Salesforce Tech PM,"SFDC,Api Integration,Lwc,Triggers,Visualforce,Salesforce,Cloud,Sales",Topgear Consultants,INR,Not disclosed,Bengaluru,8-12 Yrs,/job-listings-salesforce-tech-pm-topgear-consultants-bangalore-bengaluru-karnataka-8-to-12-years-070623005685,"Roles and Responsibilities . Well versed with Financial Sector & Loan management process<br><br>Well versed with Visio,Powerpoint,Ms-Word<br><br>Integration experience- Web Services/ REST APIs- must to have<br><br>Well versed with Javascript,CSS / HTML <br><br>Proven working experience on Change Sets,Salesforce Application migration from lower environment (UAT) to production environment",13/6/2023
Customer Success Manager - FinTech SaaS,"Customer success,Account management,Client,Looker,Architecture,Onboarding,Fintech,Accounting",AVE-Promagne Business Solutions,INR,Not disclosed,Mumbai,2-7 Yrs,/job-listings-customer-success-manager-fintech-saas-ave-promagne-business-solutions-mumbai-2-to-7-years-130623907167," . Our excel in a fast paced environment,working as a customers internal advocate to remove obstacles that may impede a customers experience with Twilio<br><br>Tableau,Looker). - An understanding of API architecture and use cases. - Experience communicating with all levels (ex",13/6/2023
Salesforce Developer,"Lwc,Salesforce,Sales,Triggers,Sales force development,Communication skills,Development",The Global Zone,INR,5-13 Lacs PA,Noida,2-5 Yrs,/job-listings-salesforce-developer-the-global-zone-noida-uttar-pradesh-2-to-5-years-130623007141,"Our Salesforce instance is of great importance to us,therefore you should keep the wider organizations best interests in mind when composing and deploying any code.  . We are looking for someone who is a self-starter and open to learning best practice development from the team",13/6/2023
TrackWise Developer,"TrackWise,Github,Cots,Apex,Cord,Crystal report,SQL,Soql",Winning Edge,INR,Not disclosed,Bengaluru,4-8 Yrs,/job-listings-trackwise-developer-edge-bangalore-bengaluru-4-to-8-years-130623907076,"Basic Requirements: . At least 3-5 years of work experience in IT,solution development,and operations<br><br>Additional Preferred Requirements: . <br><br> At least 3-5 years experience working with TrackWise vx,Crystal Reports,Informatica,Windows,Linux,database technologies,and PL / SQL,Github,agile methodologies<br><br> Pharmaceutical or healthcare industry experience",13/6/2023
Looking For Salesforce QA Automation Testing For a leading MNC!!!!,"Katalon,Automation testing,Salesforce QA,Salesforce automation testing,Selenium,Salesforce,Katalon Studio,Automation",Menorah Personnel Management India,INR,Not disclosed,Hybrid - Bengaluru(Whitefield),5-10 Yrs,/job-listings-looking-for-salesforce-qa-automation-testing-for-a-leading-mnc-menorah-personnel-management-india-bangalore-bengaluru-5-to-10-years-130623006914,"Exp: 5+yrs
Skill: Salesforce QA Automation testing
Work Location : Whitefield, Bangalore
Shift timing- 2pm to 11pm

Candidates with automation exp with Katalon (Good to have)
Coding exp in any automation testing tools(Selenium, Specflow,Cucumber etc)",13/6/2023
Analyst - Operations,"Reporting,Salesforce CRM,Salesforce,Visualforce,Management,HTML,Management skills,SFDC",Guardian life,INR,Not disclosed,Chennai,2-6 Yrs,/job-listings-analyst-operations-guardian-life-chennai-2-to-6-years-130623006854,Ability to work evening / night shifts<br><br>Alignment to Gurgaon or Noida basis business requirement.,13/6/2023
Looking For SFDC Developers For a top MNC @ Bengaluru ( Whitefield),"CTI intergration,Lightning web components,salesforce developer,PD1,Apex,Top,Agile,Triggers",Menorah Personnel Management India,INR,15-25 Lacs PA,Hybrid - Bengaluru,5-10 Yrs,/job-listings-looking-for-sfdc-developers-for-a-top-mnc-bengaluru-whitefield-menorah-personnel-management-india-bangalore-bengaluru-5-to-10-years-150323005017,"Total Exp- 5-10 Yrs
Rel Exp in SF – 5 and above
Exp in LWC – 1.6 Yrs and above
Shift Timing  - 2-11 PM
Hybrid Model (Twice in a Week)
NP- Immediate to 30 Days.
Certification is mandatory – PD1 /PD2.

Lightning web component Development and debugging",13/6/2023
Inside Sales Representative,"B2B Sales,Lead Generation,Cloud Sales,Sales,Software,SAAS Sales,Service sales,Inside sales",Majorel,INR,3.5-4.5 Lacs PA,Gurgaon,1-3 Yrs,/job-listings-inside-sales-representative-majorel-gurgaon-gurugram-haryana-1-to-3-years-130623006726,"<p><strong>Roles and Responsibilities</strong> :</p><br /><ul><li>Objective is to generated BANT qualified leads & taking them to closure, basis campaign requirement. </li><li>Business to business (B2B) calling and generating BANT qualified leads to feed sales force team either to direct client or partner. </li><li>Responsible for making cold calls, outbound calling processes. </li><li>Set up an appointment for meeting or call between the potential customer and a member of the sales representatives. </li><li>Set appointments, understand the customer needs, and sell most appropriate product. </li><li>Researches and understands prospects before making the call. </li><li>Effectively build and execute a target achievement plan to maximize output. </li><li>Building new accounts list through web search for maximum output. Conduct market research to identify potential customers. </li><li>Able to identify opportunities that meet Clients financial parameters and customer needs through matching the best fit for customer and implementation with the best fit product offering. </li><li>Able to discuss solutions with a customer relating to a business requirement. </li></ul><br /><p><strong>Desired Candidate Profile :</strong></p><br /><ul><li><strong>1 - 3 years of experience in lead generation for CRM software, preferably Salesforce </strong></li><li><strong>Effective communication and interpersonal skills </strong></li><li><strong>Ability to work independently and as part of a team. </strong></li><li><strong>Proven track record of meeting or exceeding sales targets </strong></li><li><strong>Familiarity with the available CRM software solutions in the market and sales processes Bachelor's degree or higher in a relevant field </strong></li><li><strong>Local language fluency </strong></li><li><strong>Fluent oral and written English </strong></li><li><strong>Consultative selling experience (proven track-record of meeting and exceeding sales goals) </strong></li><li><strong> Familiarity with issues & challenges related to Large Businesses. </strong></li><li><strong>Handling Large/ Premium Account Management experience preferred </strong></li><li><strong>Experience and understanding of the IT industry preferred. </strong></li><li><strong>Must have demonstrated ability and maturity to sell and build relationships with senior executives of the company, Demonstrate the ability to build and expand on new relationships. </strong></li></ul>",13/6/2023
Salesforce Architect,"Cloud,Application development,Salesforce,Development,Architecture,Application,Cloud Deployment,Salesforce cloud implementation",IBM,INR,Not disclosed,Hyderabad,10-15 Yrs,/job-listings-salesforce-architect-ibm-india-pvt-limited-hyderabad-secunderabad-10-to-15-years-130623906591,"As an IBM Application Architect, you directly help clients transform their business and solve complex problems. You will define the scope and vision for projects that deliver customized solutions using your knowledge of IBM platforms. You are a technical leader, serving as a liaison among business partners, technical resources, and project stakeholders.<br /><span></span><br /><span>Your Role and Responsibilities</span><span></span><br /><span><span><span><span>The Salesforce (SFDC) Architect Work as a subject matter expert with deep technical expertise in Salesforce.com as well as deep industry expertise.</span></span></span></span><ul><li>The Solution Architect has system-wide responsibility on complex, integrated projects, leveraging knowledge of application development methodologies and other technologies to produce comprehensive solutions and provide direction for entire programs, projects or project teams.</li><li>Experience in architecting solutions for different Salesforce Cloud (Marketing, Sales, Service, Community, etc) implementation and integration projects & proposals.</li><li>An ability to articulate and clearly communicate complex problems and solutions in a simple, visual and impactful manner.</li><li>Proven ability to build, manage and foster a team-orientated environment.</li><li>Deep domain experience in one of the following areas would be beneficial (FSS, Manufacturing, CPG/Retail)</li><li>Experience in Salesforce strategy, roadmap design, crafting a technical proposals and responding to RFIs and RFPs.</li><li>Experience in developing high-level architecture design of current and future state solution based on business requirements and value propositions.</li></ul><p><span>Required Technical and Professional Expertise</span><span></span></p><ul><li>Minimum 10 years of experience blend of business and technical solution experience in solutioning and leading large Salesforce cloud implementation programs.</li><li>Excellent communication (written and oral), storytelling, presentation and interpersonal skills.</li><li>Excellent leadership and management skills..</li><li>Experience in industry clouds </li><li>Experience in Experience Cloud is Mandatory</li></ul><p><span>Preferred Technical and Professional Expertise</span><span></span></p><ul><li>Should be able to lead solutioning and architecture track of Large Bids and meet customer face to face to convince the proposed solution and architecture.</li></ul>",13/6/2023
Api Architect,"Mulesoft Integration,Anypoint Studio,MuleSoft ESB,Azure Devops,Postman,Devops,ESB,Web services",Assistian,INR,Not disclosed,Remote,15-20 Yrs,/job-listings-api-architect-assistian-hyderabad-secunderabad-15-to-20-years-201022007076,"<p><em>Greetings from Assistian Pvt Ltd.</em><br /><strong>JD for MuleSoft Architect</strong><br /> <br /><strong>Engagement Key Details</strong>:<br /> Job Type: Full Time<br /> Experience: 15 Years<br /> Position: MuleSoft Architect / SME <br /> Key Skills: MuleSoft ESB, MuleSoft Cloud hub, Web Services, APIs(MuleSoft & REST), JAVA, Integration with Salesforce<br /> Location: Permanent Remote (WFH)<br /> Start Date: Immediate<br /> Duration: Long Term<br /> Project Type: Development (followed by Support)<br /> <strong>Key Responsibilities</strong>:<br /> •Hands-on experience in Building interfaces on any ESB platform.<br /> • Experience in Core Java, Messaging (JMS), Web API: SOAP, REST and authentication methods such as OAuth and SAML<br /> • MuleSoft integration developers are also responsible for managing the any point Cloud Hub environment and supporting existing customer implementations.<br /> • Work on enhancements and bug fixes to existing MuleSoft applications.<br /> • Hands-on experience with open source and agile development tools such as GitHub or SVN, and Maven <br />• Utilize an Agile / Scrum methodology to manage development work.<br /> • Experience of working with MuleSoft components, workflow, and patterns, and how to configure them<br /> • Proficiency in designing Mule components (Mule ESB v3.0 and above, MuleSoft Cloud hub , any point Studio, flows, MEL, message modelling, pub-sub, routing, filtering, database, exception handling, and API Management)<br /> • Good knowledge of any point Connectors for business applications, Java and Groovy (components and transformers), flow and Java debug o Understand exception handling and unit testing like M Units with Mule ESB<br /> • Experience with creation of web services and integrate them in workflow with different ESB Platform. <br />• Understanding of and ability to invoke web services - REST (with RAML or JSON / XML SOAP with WSDL) <br />• Ability to debug using tools like SoapUI, Postman <br />• Experience designing Mule ESB templates<br /> • Expertise in Java integration frameworks Spring Integration and web services, REST APIs and MuleSoft API<br /> • Knowledge of message sources, processors and properties. <br /><strong>Must Have</strong>: <br />• Excellent communication skills<br /> • Stakeholder management skills <br />• Experience with design and implementation of business development strategy<br /> • Salesforce Integration Experience & High-Level Knowledge on Salesforce Terminology <br />• Good at work habits & reliable and Loyal to the Organization <br />• Should be capable enough to Implement Best practices <br />• Should be Accountable, Proactive, Discipline, Stable at Employment<br /> • Should be well versed with Time & People management<br /> <strong>Good to Have</strong>: <br />• Knowledge of other API management tools like apigee and WSO2 will be added advantage.<br /> • Certification related to MuleSoft/Any other Integration Platform/Middleware (Dell Boomi, Tibco, Workato, Snap logic)<br /> • Knowledge/Experience in Any other Integration Platform/Middleware like Dell Boomi, Tibco, Workato, Snap logic Preference will be given for the people who has vast experience in dealing with integrations and flexible enough with timings and who can start with us immediate.</p>",13/6/2023
